UPK45
(Bp-Rp)_0 Bp-Rp
0.777964097 1.229577
2.089121903 1.637509
2.170067903 1.718455
1.916791903 1.465179
1.991254903 1.539642
1.984533903 1.532921
1.956916903 1.505304
1.894083903 1.442471
1.060554903 0.608942
1.968627903 1.517015
2.470247903 2.018635
2.654269903 2.202657
2.481208903 2.029596
1.666307903 1.214695
2.840088903 2.388476
2.198482903 1.74687
2.007021903 1.555409
2.068769903 1.617157
1.447975903 0.996363
1.843892903 1.39228
1.842800903 1.391188
2.157709903 1.706097
1.597834903 1.146222
3.064414903 2.612802
1.622815903 1.171203
1.593153903 1.141541
2.174167903 1.722555
1.596243903 1.144631
0.799623903 0.348011
3.260510903 2.808898
1.794619903 1.343007
1.528742903 1.07713
2.345937903 1.894325
1.563572903 1.11196
1.684738903 1.233126
1.147868903 0.696256
1.650473903 1.198861
1.033744903 0.582132
2.710841903 2.259229
3.431184903 2.979572
2.990410903 2.538798
2.500224903 2.048612
1.735993903 1.284381
1.767620903 1.316008
1.612423903 1.160811
1.482485903 1.030873
1.995757903 1.544145
0.957755903 0.506143
1.727986903 1.276374
1.865626903 1.414014
2.723314903 2.271702
2.705696903 2.254084
2.085899903 1.634287
3.245369903 2.793757
1.510812903 1.0592
1.834252903 1.38264
1.619866903 1.168254
1.216258903 0.764646
2.079244903 1.627632
2.510103903 2.058491
2.714275903 2.262663
0.794633903 0.343021
3.189287903 2.737675
1.847844903 1.396232
2.100990903 1.649378
1.825782903 1.37417
2.140554903 1.688942
1.554891903 1.103279
2.278185903 1.826573
2.775144903 2.323532
1.919667903 1.468055
1.886331903 1.434719
1.921199903 1.469587
1.673453903 1.221841
1.828961903 1.377349
1.812217903 1.360605
3.104199903 2.652587
1.203077903 0.751465
1.828875903 1.377263
3.118586903 2.666974
1.774112903 1.3225
1.881681903 1.430069
1.738823903 1.287211
2.836654903 2.385042
1.542263903 1.090651
2.499717903 2.048105
2.339891903 1.888279
1.825387903 1.373775
1.500605903 1.048993
2.006008903 1.554396
1.252409903 0.800797
0.753090903 0.301478
1.888499903 1.436887
1.330926903 0.879314
2.843194903 2.391582
2.002400903 1.550788
3.304363903 2.852751
1.697385903 1.245773
2.913687903 2.462075
2.359439903 1.907827

UPK53
2.048314871 1.524277
1.778844871 1.712831
2.146619871 1.443361
1.926475871 1.811136
0.858371871 1.590992
2.460920871 0.522888
0.746684871 2.125437
2.083221871 0.411201
3.328317871 1.747738
2.153401871 2.992834
2.869062871 1.817918
1.480965871 2.533579
2.147165871 1.145482
2.184018871 1.811682
1.328130871 1.848535
1.378638871 0.992647
2.401968871 1.043155
1.494972871 2.066485
1.777117871 1.159489
1.647573871 1.441634
2.474336871 1.31209
2.702800871 2.138853
1.607339871 2.367317
1.621704871 1.271856
2.524746871 1.286221
0.903684871 2.189263
1.255963871 0.568201
2.070070871 0.92048
1.317559871 1.734587
2.963462871 0.982076
2.323276871 2.627979
1.671016871 1.987793
1.038771871 1.335533
1.638554871 0.703288
1.357301871 1.303071
1.521306871 1.021818
1.740165871 1.185823
2.167149871 1.404682
2.277491871 1.831666
0.837965871 1.942008
2.674965871 0.502482
3.070251871 2.339482
1.790887871 2.734768
2.837600871 1.455404
1.421993871 2.502117
1.575004871 1.08651
1.514870871 1.239521
0.997751871 1.179387
2.732603871 0.662268
1.087174871 2.39712
0.944849871 0.751691
1.506223871 0.609366
1.750713871 1.17074
1.742525871 1.41523
1.617932871 1.407042
1.381147871 1.282449
2.581991871 1.045664
1.563903871 2.246508
2.487569871 1.22842
0.984900871 2.152086
2.001811871 0.649417
2.239310871 1.666328
0.335483871 1.903827

UPK84
0.627584935 0.459843
0.818419935 0.650678
1.055489935 0.887748
0.865707935 0.697966
1.053778935 0.886037
1.076627935 0.908886
0.717476935 0.549735
1.140243935 0.972502
0.712338935 0.544597
0.875461935 0.70772
0.785282935 0.617541
0.893993935 0.726252
1.326472935 1.158731
0.794416935 0.626675
0.906501935 0.73876
1.488485935 1.320744
1.226021935 1.05828
1.336054935 1.168313
1.640710935 1.472969
0.758585935 0.590844
0.564625935 0.396884
0.874276935 0.706535
0.570698935 0.402957
0.828963935 0.661222
1.033903935 0.866162
0.743900935 0.576159
1.002510935 0.834769
0.647174935 0.479433
0.681936935 0.514195
1.307799935 1.140058
0.638336935 0.470595

UPK185
1.786123387 1.592575
1.413919387 1.220371
2.601181387 2.407633
1.029298387 0.83575
2.947276387 2.753728
2.285009387 2.091461
2.602215387 2.408667
2.847278387 2.65373
3.023807387 2.830259
1.611591387 1.418043
2.456785387 2.263237
1.653415387 1.459867
2.806965387 2.613417
0.858070387 0.664522
1.560981387 1.367433
2.655693387 2.462145
2.597280387 2.403732
1.021631387 0.828083
2.672182387 2.478634
2.730060387 2.536512
2.494198387 2.30065
1.933383387 1.739835
2.471565387 2.278017
1.064769387 0.871221
1.547656387 1.354108
2.232839387 2.039291
1.432914387 1.239366
2.067482387 1.873934
2.077993387 1.884445
2.628519387 2.434971
2.797296387 2.603748
2.169468387 1.97592
2.687148387 2.4936
2.713815387 2.520267
1.524378387 1.33083
2.655214387 2.461666
2.860895387 2.667347
1.357878387 1.16433
1.592592387 1.399044
1.826515387 1.632967
1.630460387 1.436912
2.783814387 2.590266
0.965580387 0.772032
1.229056387 1.035508
0.561046387 0.367498
1.782708387 1.58916
3.089021387 2.895473
2.723869387 2.530321
1.078033387 0.884485
1.220367387 1.026819
2.812244387 2.618696
2.424574387 2.231026
1.144839387 0.951291
1.280319387 1.086771
1.464366387 1.270818
1.122934387 0.929386
2.730753387 2.537205
1.350904387 1.157356
2.513852387 2.320304
2.311989387 2.118441
2.134549387 1.941001
1.957222387 1.763674
2.500418387 2.30687
3.120522387 2.926974
2.811029387 2.617481
0.941843387 0.748295
2.586785387 2.393237
1.229220387 1.035672
1.254970387 1.061422
2.474693387 2.281145
2.596067387 2.402519
1.322364387 1.128816
1.147322387 0.953774
0.514297387 0.320749
1.115812387 0.922264
2.478392387 2.284844
1.914064387 1.720516
2.855180387 2.661632
1.743301387 1.549753
2.542769387 2.349221
2.360596387 2.167048
2.276016387 2.082468
1.613939387 1.420391
1.543366387 1.349818
2.954714387 2.761166
1.251442387 1.057894
0.830043387 0.636495
2.451017387 2.257469
2.067156387 1.873608
0.525848387 0.3323
1.622501387 1.428953
0.514873387 0.321325
1.995306387 1.801758
1.172202387 0.978654
0.797602387 0.604054
1.080212387 0.886664
2.772024387 2.578476
3.162281387 2.968733
2.667341387 2.473793
2.136779387 1.943231
1.150135387 0.956587
0.974194387 0.780646
2.440542387 2.246994
0.255786387 0.062238
1.385582387 1.192034
1.840499387 1.646951
1.744551387 1.551003
1.664704387 1.471156
1.719379387 1.525831
2.388404387 2.194856
3.126537387 2.932989
0.953515387 0.759967
0.335410387 0.141862
1.334373387 1.140825
1.176997387 0.983449
1.487014387 1.293466
0.908868387 0.71532
1.271382387 1.077834
1.890963387 1.697415
2.996311387 2.802763
2.032001387 1.838453
2.796762387 2.603214
2.680776387 2.487228
2.630167387 2.436619
1.140232387 0.946684
1.069300387 0.875752
2.889918387 2.69637
1.396349387 1.202801
2.119441387 1.925893
1.888127387 1.694579
2.497488387 2.30394
3.154504387 2.960956
1.266947387 1.073399
2.664766387 2.471218
1.091355387 0.897807
1.145180387 0.951632
2.158111387 1.964563
1.675630387 1.482082
1.829123387 1.635575
2.485262387 2.291714
3.194265387 3.000717
1.187030387 0.993482
1.809655387 1.616107
2.747119387 2.553571
2.813088387 2.61954
0.993164387 0.799616
0.847244387 0.653696
3.140247387 2.946699
1.256325387 1.062777
1.421625387 1.228077
2.807123387 2.613575
1.026954387 0.833406
1.584157387 1.390609
2.422825387 2.229277
1.259667387 1.066119
2.671122387 2.477574
1.908754387 1.715206
1.885802387 1.692254
1.482023387 1.288475
1.196290387 1.002742
1.574408387 1.38086
1.622552387 1.429004
2.139334387 1.945786
1.205795387 1.012247
1.189558387 0.99601
2.061579387 1.868031
1.442996387 1.249448
1.721650387 1.528102
1.225188387 1.03164
2.439130387 2.245582
1.054079387 0.860531
2.053611387 1.860063
2.607078387 2.41353
2.674115387 2.480567
1.825373387 1.631825
2.870695387 2.677147
3.066869387 2.873321
3.082603387 2.889055
1.613542387 1.419994
2.955841387 2.762293
1.429189387 1.235641
2.151285387 1.957737
1.148685387 0.955137
0.970296387 0.776748
1.393985387 1.200437
1.429460387 1.235912
1.790221387 1.596673
1.108624387 0.915076
3.105209387 2.911661
1.444157387 1.250609
1.055723387 0.862175
2.679245387 2.485697
2.608356387 2.414808
1.381660387 1.188112
2.565353387 2.371805
1.689751387 1.496203
0.982770387 0.789222
1.492093387 1.298545
2.348457387 2.154909
2.351858387 2.15831
1.704173387 1.510625
1.507950387 1.314402
2.148761387 1.955213

UPK429
1.253489355 1.17607
1.332757355 1.255338
1.953457355 1.876038
1.006354355 0.928935
1.160877355 1.083458
1.446905355 1.369486
1.669514355 1.592095
0.792851355 0.715432
0.724419355 0.647
0.956916355 0.879497
0.768180355 0.690761
0.864139355 0.78672
1.462357355 1.384938
1.217376355 1.139957
0.040602355 -0.036817
0.557824355 0.480405
0.577283355 0.499864
2.667660355 2.590241
1.065493355 0.988074
0.731414355 0.653995
1.673476355 1.596057
0.539943355 0.462524
0.184653355 0.107234
1.847717355 1.770298
0.724463355 0.647044
1.450102355 1.372683
1.367128355 1.289709
0.216785355 0.139366
1.288149355 1.21073
1.493193355 1.415774
1.594794355 1.517375
1.968156355 1.890737
0.966135355 0.888716
1.200569355 1.12315
2.392568355 2.315149
1.084932355 1.007513
2.162402355 2.084983
0.560075355 0.482656
0.913819355 0.8364
1.493010355 1.415591
0.640199355 0.56278
1.293204355 1.215785
1.053080355 0.975661
0.752009355 0.67459
1.099119355 1.0217
1.115186355 1.037767
0.483291355 0.405872
1.284539355 1.20712
1.553005355 1.475586
1.050463355 0.973044
1.454881355 1.377462
1.284392355 1.206973
2.077919355 2.0005
0.722253355 0.644834
0.396078355 0.318659
2.211821355 2.134402
1.606634355 1.529215
2.006639355 1.92922

UPK644
1.619817032 1.503688
1.788086032 1.671957
2.006604032 1.890475
2.166002032 2.049873
2.422478032 2.306349
2.601147032 2.485018
2.563227032 2.447098
0.554365032 0.438236
2.482214032 2.366085
1.567727032 1.451598
1.556886032 1.440757
1.666390032 1.550261
1.997553032 1.881424
0.332356032 0.216227
1.680216032 1.564087
2.340796032 2.224667
1.816466032 1.700337
1.542007032 1.425878
2.255592032 2.139463
2.861826032 2.745697
1.951027032 1.834898
0.912146032 0.796017
0.358295032 0.242166
2.300316032 2.184187
1.279069032 1.16294
2.415159032 2.29903
1.022518032 0.906389
1.732499032 1.61637
0.752492032 0.636363
1.724330032 1.608201
1.440438032 1.324309
1.519512032 1.403383
1.647348032 1.531219
2.096611032 1.980482
2.402433032 2.286304
2.177201032 2.061072
0.804051032 0.687922
1.583423032 1.467294
0.932308032 0.816179
1.891049032 1.77492
1.826563032 1.710434
2.671857032 2.555728
1.584821032 1.468692
1.486563032 1.370434
1.075593032 0.959464
1.031232032 0.915103
0.804818032 0.688689
2.200213032 2.084084
1.354225032 1.238096
1.561287032 1.445158
0.868498032 0.752369
1.373637032 1.257508
1.751060032 1.634931
1.247583032 1.131454
1.253258032 1.137129
2.185955032 2.069826
1.588442032 1.472313
2.042354032 1.926225
1.685519032 1.56939
2.174201032 2.058072
2.278793032 2.162664
1.528983032 1.412854
1.700091032 1.583962
0.304170032 0.188041
0.455270032 0.339141
0.670901032 0.554772
1.262355032 1.146226
1.295798032 1.179669
0.697094032 0.580965
0.842602032 0.726473
0.987440032 0.871311
2.426400032 2.310271
0.831963032 0.715834
2.363169032 2.24704
1.164187032 1.048058
0.419979032 0.30385
0.855179032 0.73905
1.094741032 0.978612
0.887213032 0.771084
1.981402032 1.865273
2.382670032 2.266541
1.244873032 1.128744
1.625055032 1.508926
1.389610032 1.273481
2.056048032 1.939919
2.122731032 2.006602
1.110109032 0.99398
0.487079032 0.37095
0.876937032 0.760808
1.141651032 1.025522
